,course_title,course_organization,course_Certificate_type,course_rating,course_review_counts,course_difficulty,course_students_enrolled,course_link,course_image,descriptions,ratings_on_page,no_of_ratings,instructor_list,no_of_enrollments,extra_info,language,skills,Subcategory,Category
0,IBM Data Science,IBM,PROFESSIONAL CERTIFICATE,4.6,57880 reviews,Beginner,570k,https://www.coursera.org/professional-certificates/ibm-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/ed/4131809fe511e8937a7926bc59e37f/Professional-Certificate---Data-Science---600x600---Blu-Text.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Kickstart your Career in Data Science & ML. Master data science, learn Python & SQL, analyze & visualize data, build machine learning models.",4.7stars,"37,232 ratings","Alex Aklson, Polong Lin, Romeo Kienzler, Svetlana Levitan, Joseph Santarcangelo, Rav Ahuja, SAEED AGHABOZORGI","191,487","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 10 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 10 months to complete, English",English,"Data Science, Machine Learning, Python Programming, Data Analysis, Data Visualization (DataViz), Numpy, Pandas, Cloud Databases, Ipython, Relational Database Management System (RDBMS), SQL, Predictive Modelling",Data Analysis;Database;Databases ;IBM;Machine Learning;Management;Python;SQL;SQL ;Science,Data Analysis;Computer Science;Math and Logic;Data Science;Personal Development;Life Science
1,Python for Everybody,University of Michigan,SPECIALIZATION,4.8,165474 reviews,Beginner,1.8m,https://www.coursera.org/specializations/python,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d2j5ihb19pt1hq.cloudfront.net/sdp_page/s12n_logos/python.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Learn to Program and Analyze Data with Python. Develop programs to gather, clean, analyze, and visualize data.",4.8stars,"141,371 ratings",Charles Russell Severance,"660,851","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 8 months to complete, English",English,"Json, Xml, Python Programming, Database (DBMS), Python Syntax And Semantics, Basic Programming Language, Computer Programming, Data Structure, Tuple, Web Scraping, Sqlite, SQL",Database;Language;Python;SQL;SQL ;SQLite;Web Scraping,Database;Language and Communication;Business;Math and Logic;Personal Development;Data Science
2,Introduction to Data Science,IBM,SPECIALIZATION,4.6,44697 reviews,Beginner,370k,https://www.coursera.org/specializations/introduction-data-science,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/32/d719a2d0d946d59e1151bc10ec29f5/Specialization-Certificate-Emblem---IDS---600x600.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Launch your career in Data Science. Data Science skills to prepare for a career or further advanced learning in Data Science.,4.7stars,"37,232 ratings","Alex Aklson, Polong Lin, Romeo Kienzler, Svetlana Levitan, Rav Ahuja","37,211","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 4 months to complete, English",English,"Data Science, Python Programming, Jupyter notebooks, Rstudio, SQL, Cloud Databases, Ipython, Relational Database Management System (RDBMS)",Database;Databases ;Management;Python;SQL;SQL ;Science,Database;Data Science;Business;Math and Logic;Personal Development;Life Science
3,Deep Learning,deeplearning.ai,SPECIALIZATION,4.8,101266 reviews,Intermediate,790k,https://www.coursera.org/specializations/deep-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/57/4be3fd8d16487ab9cfa7bba909b236/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,"Deep Learning Specialization.   Master Deep Learning, and Break into AI",4.9stars,"89,058 ratings","Andrew NgTop Instructor, Head Teaching Assistant - Kian KatanforooshTop Instructor, Teaching Assistant - Younes Bensouda MourriTop Instructor","431,639","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Tensorflow, Convolutional Neural Network, Artificial Neural Network, Deep Learning, Backpropagation, Python Programming, Hyperparameter, Hyperparameter Optimization, Machine Learning, Inductive Transfer, Multi-Task Learning, Facial Recognition System",Deep Learning;Machine Learning;Python;TensorFlow,Deep Learning;Data Science;Math and Logic;Business
4,Google IT Support,Google,PROFESSIONAL CERTIFICATE,4.8,47763 reviews,Beginner,460k,https://www.coursera.org/professional-certificates/google-it-support,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/14/b2d530f1ad11e7ab380fc0c6c817a8/Search-Thumbnail.jpg?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,The launchpad to a career in IT. This program is designed to take beginner learners to job readiness in about 3 to 6 months.,4.8stars,"39,882 ratings",GoogleTop Instructor,"289,899","Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, English",English,"Binary Code, Customer Support, Linux, Troubleshooting, Domain Name System (DNS), Ipv4, Network Model, Powershell, Linux File Systems, Command-Line Interface, Directory Service, Lightweight Directory Access Protocol (LDAP)",Google;Linux;Powershell ,Google;Marketing
5,Machine Learning,Stanford University,COURSE,4.9,142479 reviews,Mixed,3.4m,https://www.coursera.org/learn/machine-learning,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera/topics/ml/large-icon.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,Andrew NgTop Instructor,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Logistic Regression, Artificial Neural Network, Machine Learning (ML) Algorithms, Machine Learning",Algorithms;Machine Learning,Algorithms;Physical Science and Engineering;Data Science;Math and Logic
6,Key Technologies for Business,IBM,SPECIALIZATION,4.7,40844 reviews,Beginner,360k,https://www.coursera.org/specializations/key-technologies-for-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/93/1543b8c7d64dad864ca79e876a065d/Key-Technology-Foundations-1-.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Get Ahead with Key Business Technologies. Gain Foundational Understanding of Key Technologies Driving Modern Businesses ,4.8stars,275 ratings,"Rav Ahuja, Alex Aklson, Polong Lin",,"Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 3 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 3 months to complete, English",English,"Data Science, Artificial Intelligence (AI), Business, Cloud Computing, technology, Hybrid Multiclud, Cloud Native, Devops, Iaas PaaS Saas, Deep Learning, Jobs, Machine Learning",Artificial Intelligence;Business;Business Intelligence;Cloud Computing;Deep Learning;Devops ;Machine Learning;Science,Artificial Intelligence;Business;Business;Data Science;Math and Logic;Life Science
7,IBM AI Foundations for Business,IBM,SPECIALIZATION,4.7,40707 reviews,Beginner,350k,https://www.coursera.org/specializations/ibm-ai-foundations-for-business,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/bb/a0b5642d924caabb6101aa7e1afa66/IBM-AI-Foundations-for-Business.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.7stars,"4,106 ratings","Rav Ahuja, Alex Aklson, Polong Lin, Mark J Grover, Ray Lopez, Ph.D.",,"Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 2 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Beginner Level, Approx. 2 months to complete, English",English,"Data Science, Artificial Intelligence (AI), Information Technology (IT) Architecture, Data Architecture, Leadership, Deep Learning, Jobs, Machine Learning, Management, Analytics, Innovation",Architecture;Artificial Intelligence;Business;Business Intelligence;Business Management;Deep Learning;IBM;Innovation;Leadership;Machine Learning;Management;Science,Architecture;Computer Science;Physical Science and Engineering;Business;Business;Personal Development;Data Science;Math and Logic;Life Science
8,Natural Language Processing,deeplearning.ai,SPECIALIZATION,4.6,615 reviews,Intermediate,26k,https://www.coursera.org/specializations/natural-language-processing,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://d15cw65ipctsrr.cloudfront.net/50/6be3e57a3449ec88e9e91dcbc658dc/GreyLogoName1000x1000.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,Break into the NLP space. Master cutting-edge NLP techniques through four hands-on courses!,4.6stars,587 ratings,"Younes Bensouda Mourri, Łukasz Kaiser, Eddy Shyu","17,013","Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English, Shareable Certificate, 100% online courses, Flexible Schedule, Intermediate Level, Approx. 4 months to complete, English",English,"Sentiment Analysis, Siamese Networks, Hidden Markov Model, Transformers, Attention Models, Machine Translation, Word Embeddings, Locality-Sensitive Hashing, Vector Space Models, Word2vec, Parts-of-Speech Tagging, N-gram Language Models",Language;Natural Language Processing,Language;Computer Science
9,The Science of Well-Being,Yale University,COURSE,4.9,17622 reviews,Mixed,2.8m,https://www.coursera.org/learn/the-science-of-well-being,https://d3njjcbhbojbot.cloudfront.net/api/utilities/v1/imageproxy/https://s3.amazonaws.com/coursera-course-photos/7e/aff5b0f54c11e7b5ae579a0e963c38/Logo_TheScienceofWell-Being.png?auto=format%2Ccompress&dpr=3&w=150&h=150&fit=fill&bg=FFF,,4.9stars,,Laurie SantosTop Instructor,,"Shareable Certificate, 100% online, Flexible deadlines, English, Shareable Certificate, 100% online, Flexible deadlines, English",English,"Gratitude, Happiness, Meditation, Savoring",Meditation;Science,Meditation;Life Science
