,Subcategory
0,Accounting 
1,Bitcoin 
2,Blockchain
3,Business Management
4,Career Development
5,Coaching
6,Creativity
7,Credit Analysis
8,Customer Relationship
9,Data Analysis
10,Digital Marketing
11,Entrepreneurship
12,Ethereum
13,Excel 
14,Facebook
15,Financial Analysis
16,Financial Modeling
17,Human Resources
18,Innovation 
19,Instagram
20,Jira
21,Merch by Amazon
22,Microsoft Access
23,Microsoft OneNote
24,Microsoft Powerpoint
25,Microsoft Project
26,Negotiation
27,Options Trading 
28,PMP Certification 
29,Portfolio Analysis
30,Primavera P6
31,Productivity
32,Project Management 
33,Python
34,QuickBooks Pro
35,Real Estate Investing
36,Sales
37,SAP 
38,SEO
39,Sharepoint 
40,Singing
41,Stock Trading 
42,Strategic Management
43,Supply Chain
44,Cryptocurrency 
45,Business
46,Trello
47,Valuation
48,Video Editing
49,Videography
50,Web Design
51,Writing
52,YouTube
53,Microsoft
54,Trading
55,Business
56,Portfolio
57,Management
58,Investment
59,Leadership
60,Finance
61,Marketing
62,Advertising
63,Strategy
64,Analyst
65,Tax
66,E-Commerce
67,Economics
68,Money Management
69,Branding
70,Business Law
