,Subcategory
0,3D Printing
1,Accounting
2,Adobe Experience Manager
3,Adobe Flash
4,Android Development 
5,Angular 
6,Ansible
7,Apache Spark
8,Architecture
9,Arduino 
10,Artificial Intelligence
11,ASP NET
12,Assembly
13,Autodesk Fusion 360
14,AWS 
15,Autodesk
16,Android
17,Adobe
18,Azure 
19,Backbone.js
20,Bash
21,Big Data
22,Bitcoin 
23,Blender
24,Blockchain
25,Bootstrap 
26,Business Analysis
27,Business Intelligence
28,C 
29,C# 
30,C++ 
31,Career Development
32,Cassandra
33,CentOS
34,Chrome
35,Cryptocurrency
36,Cisco 
37,Coaching
38,Comptia Security
39,Computer Networking
40,Computer Networks
41,Computer Vision
42,Cooking
43,Cordova
44,cPanel
45,Creativity
46,Customer Relationship
47,CSS 
48,Cybersecurity
49,D3.js
50,Data Analysis
51,Data Mining
52,Data Structures
53,Algorithms
54,Database
55,Deep Learning
56,Devops 
57,Django 
58,Docker 
59,Drupal
60,Eclipse IDE
61,Elasticsearch
62,Electron JS
63,Electronics
64,Elixir
65,EmberJS
66,Entrepreneurship
67,ES6
68,Ethereum
69,Ethical Hacking 
70,Express JS
71,F#
72,Facebook
73,Firebase 
74,Flask
75,Flutter
76,Forex
77,Front End 
78,Front End Developer
79,Game Character Creation
80,Game Development
81,Gamemaker Studio
82,GIS
83,Git 
84,GitHub
85,GNS3
86,Go
87,Godot Game Engine
88,GraphQL
89,Gulp JS
90,Heroku
91,Houdini
92,HTML 
93,Innovation
94,Instagram
95,IntelliJ Idea
96,Internet of Things
97,iOS Development 
98,Java
99,Microsoft
100,Javascript 
101,Jenkins
102,Jira
103,Joomla
104,jQuery 
105,Kafka
106,Kali Linux
107,Kids Coding Languages
108,Kotlin 
109,Kubernetes
110,Laravel
111,Linux
112,Machine Learning 
113,Matlab
114,Maya
115,Mean Stack
116,Microcontrollers
117,Microservices
118,Microsoft Powerpoint
119,Microsoft SQL Server 
120,Mobile Development 
121,MongoDB
122,MySQL 
123,Natural Language Processing
124,Negotiation
125,Nginx
126,NodeJS
127,NPM
128,OAuth
129,Object Oriented Programming 
130,Objective-C
131,OpenStack
132,Operating Systems 
133,Options Trading
134,Oracle DB 
135,Perl
136,PMP Certification 
137,PostgreSQL
138,Powershell 
139,Productivity
140,Programming Languages
141,Project Management 
142,Puppet Forge
143,Python
144,QT Programming
145,R
146,RabbitMQ
147,Raspberry Pi
148,React 
149,React Native
150,Redhat Linux
151,Redis
152,Ruby 
153,Ruby on Rails
154,Rust
155,SAP 
156,Sass
157,Scala 
158,SCCM
159,Scratch Games
160,Security and Cryptography
161,Selenium 
162,SEO
163,Singing
164,Six Sigma
165,Software Architecture
166,Software Design Patterns
167,Software Development
168,SQL 
169,SQLite
170,Stock Trading
171,Swift 
172,SwiftUI
173,Symfony
174,TensorFlow
175,Terraform
176,Augmnet Reality
177,Computer Science
178,Trello
179,TypeScript
180,Ubuntu
181,UI Design
182,Unity 
183,Unreal Engine 
184,Vagrant
185,Video Editing
186,Videography 
187,Virtual Reality
188,Visual Basic
189,VMWare 
190,Vuejs 
191,Web Design
192,Web Development
193,Web Scraping
194,Webpack
195,Wireshark
196,Wordpress 
197,Writing
198,Xamarin
199,YouTube
200,Google
201,IBM
202,Coding
203,Software Testing
204,Graphic Design
205,Network and Secutity
206,Oracle
207,Cloud Computing
