,Subcategory
0,AWS & Certification
1,Big Data
2,Blockchain and Cryptocurrency 
3,C
4,C++ 
5,D3.js
6,Data Analysis 
7,Data Manipulation
8,Data Structures and Algorithms
9,Data Structures with Python
10,Databases 
11,Django
12,Entrepreneurship
13,Excel 
14,Hadoop
15,Java
16,Machine Learning
17,Microsoft SQL Server
18,MongoDB
19,PostgreSQL
20,Python 
21,R Programming Language
22,SAS Programming
23,Scala
24,Splunk
25,SPSS
26,SQL 
27,Statistics and Probability 
28,Survey
29,Tableau 
