,Subcategory
0,Adobe
1,Bing
2,Brand Building
3,Marketing
4,Career Development
5,Copywriting
6,Customer Relationship
7,Entrepreneurship 
8,Facebook 
9,Google Ads
10,Google AdWords 
11,Google Adwords Certification
12,Google Analytics
13,Google Analytics Certification
14,Google Tag Manager
15,Instagram 
16,Logo Design
17,Mailchimp
18,ManyChat
19,Salesforce 
20,SEO 
21,SEO Tools
22,Sharepoint 
23,Google
24,Trello
25,Video Editing
26,YouTube 
27,Social Media Marketing
28,Twitter
29,Tiktok
