,Subcategory
0,Bartending
1,Beer Brewing
2,Bitcoin
3,Decorate
4,Board Games 
5,Cake Decorating
6,Career Advice
7,Career Development 
8,Chess 
9,Coaching 
10,Cooking 
11,Creativity 
12,Critical Thinking
13,Databases
14,Digital Marketing
15,Emotional Intelligence 
16,Entrepreneurship 
17,eSports
18,Fitness
19,Gardening
20,Health
21,Innovation
22,Law
23,Leadership 
24,Meditation
25,Microsoft Access
26,Microsoft Powerpoint 
27,Negotiation
28,Office Productivity
29,Oracle DB
30,Parenting 
31,Personal Finance 
32,Poker
33,Productivity 
34,Project Management
35,Psychology
36,Public Speaking 
37,SAP 
38,Singing
39,SQL
40,Super Learning
41,Teamwork
42,Painting
43,Trello
44,Video Editing
45,Videography
46,Watercolor Painting
47,Writing
48,Personal Development
49,Teacher Training
50,Interior Design
51,Online Education
52,Fashion
53,Public Reltions
